ANO_ELEICAO;CD_TIPO_ELEICAO;CD_ELEICAO;DS_ELEICAO;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;NR_SECAO;CD_CARGO;DS_CARGO;NR_VOTAVEL;NM_VOTAVEL;QT_VOTOS;NR_LOCAL_VOTACAO
2020;2;426;ELEIÇÕES MUNICIPAIS 2020;PIRIPIRI;11673;PIRIPIRI;11;16;13;VEREADOR;13333;ADARA PATRÍCIA DE SOUSA AMARAL;3;1015
2020;2;426;ELEIÇÕES MUNICIPAIS 2020;PIRIPIRI;11673;PIRIPIRI;11;16;13;VEREADOR;14258;ADRIELE SILVA MOITA;1;1015
2020;2;426;ELEIÇÕES MUNICIPAIS 2020;PIRIPIRI;11673;PIRIPIRI;11;16;13;VEREADOR;13123;ALAN TEIXEIRA OSÓRIO;13;1015
2020;2;426;ELEIÇÕES MUNICIPAIS 2020;PIRIPIRI;11673;PIRIPIRI;11;16;13;VEREADOR;17111;ANDREA KARINA DE AZEVEDO;6;1015
2020;2;426;ELEIÇÕES MUNICIPAIS 2020;PIRIPIRI;11673;PIRIPIRI;11;16;13;VEREADOR;20456;ANTONIA PEREIRA DA SILVA;1;1015
2020;2;426;ELEIÇÕES MUNICIPAIS 2020;PIRIPIRI;11673;PIRIPIRI;11;16;13;VEREADOR;14222;ANTONIO CARLOS DE MENESES;1;1015
2020;2;426;ELEIÇÕES MUNICIPAIS 2020;PIRIPIRI;11673;PIRIPIRI;11;16;13;VEREADOR;15678;ANTONIO LINDBERG AZEVEDO MORAIS;1;1015
2020;2;426;ELEIÇÕES MUNICIPAIS 2020;PIRIPIRI;11673;PIRIPIRI;11;16;13;VEREADOR;20200;ANTONIO LINDOMAR ALVES DA SILVA;1;1015
2020;2;426;ELEIÇÕES MUNICIPAIS 2020;PIRIPIRI;11673;PIRIPIRI;11;16;13;VEREADOR;11333;ANTONIO MENDES MOURA;7;1015
2020;2;426;ELEIÇÕES MUNICIPAIS 2020;PIRIPIRI;11673;PIRIPIRI;11;16;13;VEREADOR;17789;ARILSON DE SOUSA OLIVEIRA;1;1015
